Calibration Results
Timestamp,2025-11-18T11:32:04.443485
Target X,0.2
Target Y,-0.1
Target Z,-0.1
Home X,0.2
Home Y,0.0
Home Z,0.1
Iterations,2

TARGET POSITION MEASUREMENTS
Iteration,Move Success,Pose Success,Actual X,Actual Y,Actual Z,Error X,Error Y,Error Z,Euclidean Error
1,True,True,0.20013099908828735,-0.09995099902153015,-0.09973599761724472,-0.0001309990882873424,-4.9000978469854184e-05,-0.0002640023827552851,0.00029876264010680133
2,True,True,0.19972500205039978,-0.0995199978351593,-0.09998899698257446,0.00027499794960023083,-0.0004800021648407038,-1.100301742554266e-05,0.0005533055366870642

HOME POSITION MEASUREMENTS
Iteration,Move Success,Pose Success,Actual X,Actual Y,Actual Z,Error X,Error Y,Error Z,Euclidean Error
1,True,True,0.2003369927406311,-5.0999999075429514e-05,0.09963800013065338,-0.0003369927406310924,5.0999999075429514e-05,0.0003619998693466242,0.0004972011791525856
2,True,True,0.20039600133895874,-2.5999999706982635e-05,0.0997370034456253,-0.00039600133895872913,2.5999999706982635e-05,0.0002629965543747004,0.0004760884876310643

STATISTICS

TARGET POSITION STATISTICS
Metric,Mean,Std Dev,Min,Max,RMS
ERROR_X,7.199943065644421e-05,0.00020299851894378662,-0.0001309990882873424,0.00027499794960023083,0.0002153887571537173
ERROR_Y,-0.000264501571655279,0.0002155005931854248,-0.0004800021648407038,-4.9000978469854184e-05,0.00034117676807101423
ERROR_Z,-0.00013750270009041388,0.00012649968266487122,-0.0002640023827552851,-1.100301742554266e-05,0.0001868399375039165
EUCLIDEAN_ERROR,0.0004260340883969327,0.00012727144829013142,0.00029876264010680133,0.0005533055366870642,0.00044463812929850395

HOME POSITION STATISTICS
Metric,Mean,Std Dev,Min,Max,RMS
ERROR_X,-0.00036649703979491077,2.950429916381836e-05,-0.00039600133895872913,-0.0003369927406310924,0.0003676827217147693
ERROR_Y,3.8499999391206075e-05,1.249999968422344e-05,2.5999999706982635e-05,5.0999999075429514e-05,4.0478388619465256e-05
ERROR_Z,0.0003124982118606623,4.9501657485961914e-05,0.0002629965543747004,0.0003619998693466242,0.00031639460569037655
EUCLIDEAN_ERROR,0.000486644833391825,1.0556345760760652e-05,0.0004760884876310643,0.0004972011791525856,0.0004867593145516353
