Multi-Target Calibration Results
Mode,multi_target
Timestamp,2025-11-21T12:41:57.803649
Number of Targets,9
Number of Loops,4
Settling Time (s),1.5
Home X,0.2
Home Y,0.0
Home Z,0.1

TARGET DEFINITIONS
Index,Name,X,Y,Z,Description
1,1,0.2,0.2,0.4,1
2,2,0.2,0.0,0.4,2
3,3,0.2,-0.2,0.4,3
4,4,0.0,0.2,0.4,4
5,5,0.0,0.0,0.4,5
6,6,0.0,-0.2,0.4,6
7,7,-0.2,0.2,0.4,7
8,8,-0.2,0.0,0.4,8
9,9,-0.2,-0.2,0.4,9

ALL MEASUREMENTS
Measurement #,Loop,Target Index,Target Name,Target X,Target Y,Target Z,Actual X,Actual Y,Actual Z,Error X,Error Y,Error Z,Euclidean Error
1,1,1,1,0.2,0.2,0.4,0.21012400090694427,0.19945700466632843,0.3892430067062378,-0.010124000906944264,0.0005429953336715809,0.01075699329376223,0.014781851812890122
2,1,2,2,0.2,0.0,0.4,0.21118099987506866,-0.0002460000105202198,0.38834598660469055,-0.011180999875068653,0.0002460000105202198,0.01165401339530947,0.01615212996572012
3,1,3,3,0.2,-0.2,0.4,0.209430992603302,-0.19998100399971008,0.38970598578453064,-0.00943099260330199,-1.8996000289928094e-05,0.010294014215469383,0.013961042618653151
4,1,4,4,0.0,0.2,0.4,0.010297000408172607,0.20095600187778473,0.3885430097579956,-0.010297000408172607,-0.0009560018777847179,0.011456990242004417,0.015433884229241166
5,1,5,5,0.0,0.0,0.4,0.011051000095903873,9.999999974752427e-07,0.38903000950813293,-0.011051000095903873,-9.999999974752427e-07,0.010969990491867088,0.015571297168550914
6,1,6,6,0.0,-0.2,0.4,0.010332000441849232,-0.2007180005311966,0.3885509967803955,-0.010332000441849232,0.0007180005311965831,0.011449003219604514,0.015438440096579895
7,1,7,7,-0.2,0.2,0.4,-0.1895499974489212,0.19992099702358246,0.3894309997558594,-0.010450002551078807,7.90029764175526e-05,0.010569000244140647,0.01486312756281401
8,1,8,8,-0.2,0.0,0.4,-0.18956999480724335,0.00023200000578071922,0.3893490135669708,-0.010430005192756664,-0.00023200000578071922,0.010650986433029197,0.014909136270092417
9,1,9,9,-0.2,-0.2,0.4,-0.189751997590065,-0.19991999864578247,0.3892489969730377,-0.010248002409935009,-8.00013542175404e-05,0.010751003026962302,0.014853013825364298
10,2,1,1,0.2,0.2,0.4,0.2104559987783432,0.200205996632576,0.38868600130081177,-0.01045599877834319,-0.00020599663257597767,0.011313998699188255,0.015407040975819478
11,2,2,2,0.2,0.0,0.4,0.20997799932956696,-0.00039900001138448715,0.38903000950813293,-0.009977999329566944,0.00039900001138448715,0.010969990491867088,0.014834431671674433
12,2,3,3,0.2,-0.2,0.4,0.21011300384998322,-0.20049400627613068,0.3888860046863556,-0.010113003849983204,0.0004940062761306652,0.011113995313644431,0.015034552899981495
13,2,4,4,0.0,0.2,0.4,0.010308999568223953,0.1995690017938614,0.3893490135669708,-0.010308999568223953,0.00043099820613862194,0.010650986433029197,0.014829185532183094
14,2,5,5,0.0,0.0,0.4,0.009708000347018242,0.0,0.3890179991722107,-0.009708000347018242,0.0,0.010982000827789329,0.014657749244657988
15,2,6,6,0.0,-0.2,0.4,0.01016599964350462,-0.19936899840831757,0.38973599672317505,-0.01016599964350462,-0.0006310015916824452,0.010264003276824973,0.01446013399063493
16,2,7,7,-0.2,0.2,0.4,-0.190187007188797,0.2005539983510971,0.38881799578666687,-0.009812992811203014,-0.0005539983510970958,0.011182004213333152,0.01488754379717288
17,2,8,8,-0.2,0.0,0.4,-0.18966799974441528,0.0002300000051036477,0.3891479969024658,-0.010332000255584728,-0.0002300000051036477,0.010852003097534202,0.014985629800333466
18,2,9,9,-0.2,-0.2,0.4,-0.18943999707698822,-0.200095996260643,0.38929998874664307,-0.010560002923011791,9.599626064299427e-05,0.010700011253356956,0.01503373266484543
19,3,1,1,0.2,0.2,0.4,0.21050900220870972,0.2006080001592636,0.3884420096874237,-0.010509002208709706,-0.0006080001592635997,0.011557990312576316,0.015633167679070612
20,3,2,2,0.2,0.0,0.4,0.21007199585437775,-0.00011600000289035961,0.3888469934463501,-0.010071995854377735,0.00011600000289035961,0.011153006553649925,0.015028243798828625
21,3,3,3,0.2,-0.2,0.4,0.21032600104808807,-0.20039799809455872,0.38883599638938904,-0.010326001048088063,0.0003979980945587047,0.011164003610610984,0.015212484239798681
22,3,4,4,0.0,0.2,0.4,0.01025800034403801,0.20033499598503113,0.3890790045261383,-0.01025800034403801,-0.00033499598503111683,0.010920995473861717,0.014986892123064708
23,3,5,5,0.0,0.0,0.4,0.011226000264286995,-1.9999999949504854e-06,0.3889099955558777,-0.011226000264286995,1.9999999949504854e-06,0.011090004444122337,0.01578009139721392
24,3,6,6,0.0,-0.2,0.4,0.009952000342309475,-0.20098499953746796,0.3885610103607178,-0.009952000342309475,0.0009849995374679454,0.011438989639282249,0.015194177136974105
25,3,7,7,-0.2,0.2,0.4,-0.18987900018692017,0.20052999258041382,0.38880300521850586,-0.010120999813079845,-0.0005299925804138073,0.011196994781494163,0.0151025898934078
26,3,8,8,-0.2,0.0,0.4,-0.19100399315357208,0.00016199999663513154,0.3883959949016571,-0.008996006846427929,-0.00016199999663513154,0.011604005098342918,0.014683573049576742
27,3,9,9,-0.2,-0.2,0.4,-0.18918299674987793,-0.19990499317646027,0.38972601294517517,-0.010817003250122081,-9.500682353974499e-05,0.010273987054824851,0.01491882688459047
28,4,1,1,0.2,0.2,0.4,0.21033799648284912,0.19972600042819977,0.3891020119190216,-0.01033799648284911,0.00027399957180024304,0.010897988080978416,0.015023827450350156
29,4,2,2,0.2,0.0,0.4,0.20985400676727295,-0.00023999999393709004,0.38899001479148865,-0.009854006767272938,0.00023999999393709004,0.011009985208511375,0.014777646079744565
30,4,3,3,0.2,-0.2,0.4,0.21020199358463287,-0.2002200037240982,0.38899099826812744,-0.010201993584632862,0.00022000372409819446,0.01100900173187258,0.015010902500245634
31,4,4,4,0.0,0.2,0.4,0.010015999898314476,0.20078100264072418,0.38853299617767334,-0.010015999898314476,-0.000781002640724171,0.011467003822326682,0.015245405725959164
32,4,5,5,0.0,0.0,0.4,0.010735999792814255,-9.999999974752427e-07,0.38887301087379456,-0.010735999792814255,9.999999974752427e-07,0.011126989126205467,0.015461939709040468
33,4,6,6,0.0,-0.2,0.4,0.01038500014692545,-0.20003299415111542,0.38906601071357727,-0.01038500014692545,3.299415111540638e-05,0.010933989286422752,0.015079835489197385
34,4,7,7,-0.2,0.2,0.4,-0.19008399546146393,0.20071899890899658,0.3886969983577728,-0.009916004538536083,-0.0007189989089965709,0.011303001642227195,0.015053303676057197
35,4,8,8,-0.2,0.0,0.4,-0.1907069981098175,0.00020900000527035445,0.3887369930744171,-0.009293001890182506,-0.00020900000527035445,0.011263006925582908,0.014603386255895143
36,4,9,9,-0.2,-0.2,0.4,-0.19020700454711914,-0.19949600100517273,0.38941600918769836,-0.00979299545288087,-0.0005039989948272816,0.010583990812301658,0.014428362223129076

PER-TARGET STATISTICS
Target Name,Count,Mean Error X,Mean Error Y,Mean Error Z,Mean Euclidean,Std X,Std Y,Std Z,RMS Euclidean
1,4,-0.010356749594211567,7.495284080616393e-07,0.011131742596626304,0.015211471979532593,0.00014794837763789197,0.0004421584152941384,0.00032014942443199995,0.015215053217033585
2,4,-0.010271250456571568,0.00025025000468303915,0.011196748912334464,0.015198112878991935,0.0005309036919960674,0.00010034036157709837,0.00027262807249633377,0.015208374344307088
3,4,-0.01001799777150153,0.00027325302362440906,0.010895253717899345,0.014804745564669741,0.0003472469222611396,0.00019528076652182663,0.0003516041597118515,0.014812961912799509
4,4,-0.010220000054687262,-0.00041025057435034595,0.011123993992805503,0.015123841902612033,0.00011927914071359828,0.0005358787978191893,0.0003512430765963936,0.015125631038133707
5,4,-0.010680250125005841,4.999999987376214e-07,0.011042246222496055,0.015367769379865821,0.0005881488781983638,1.1180339859271304e-06,6.766203820108946e-05,0.015373660693707767
6,4,-0.010208750143647194,0.00027624815702437244,0.011021496355533622,0.015043146678346579,0.00016882147775969938,0.0006284401915231867,0.0004843851804707751,0.01504746959536557
7,4,-0.010074999928474437,-0.00043099671602248035,0.01106275022029879,0.014976641232362971,0.00024324381794117465,0.0003033045222397897,0.0002888567559189005,0.014976996480547115
8,4,-0.009762753546237957,-0.00020825000319746323,0.011092500388622306,0.014795431343974442,0.0006280592519660189,2.8181336092122923e-05,0.0003686065202953057,0.014796263485031883
9,4,-0.010354501008987438,-0.00014575272798539318,0.010577248036861442,0.014808483899482318,0.00038169680404115126,0.0002200462174063465,0.0001852527274803998,0.014810251260433607


GLOBAL STATISTICS (All Targets Combined) STATISTICS
Metric,Mean,Std Dev,Min,Max,RMS
ERROR_X,-0.01021636140325831,0.00046361538413067054,-0.011226000264286995,-0.008996006846427929,0.010226875355962286
ERROR_Y,-4.3805478646340314e-05,0.0004323104439891443,-0.0009560018777847179,0.0009849995374679454,0.0004345241534616068
ERROR_Z,0.011015997827053092,0.0003636577696003791,0.010264003276824973,0.01165401339530947,0.011021998688941548
EUCLIDEAN_ERROR,0.015036627206648716,0.00040260170594659344,0.013961042618653151,0.01615212996572012,0.015042016017986399
